DATE,CRSPLCV1,CRSPLCVT
20140219,1277.77,1327.76
20140220,1286.53,1337.20
20140221,1284.52,1335.42
20140224,1291.73,1342.92
20140225,1288.68,1339.80
20140226,1289.28,1340.69
20140227,1294.99,1346.82
20140228,1300.00,1352.07
20140303,1290.61,1342.31
20140304,1310.01,1362.51
20140305,1309.27,1362.06
20140306,1312.69,1365.99
20140307,1316.15,1369.74
20140310,1315.50,1369.13
20140311,1307.28,1360.60
20140312,1307.82,1361.44
20140313,1295.01,1348.35
20140314,1292.31,1345.59
20140317,1304.51,1358.32
20140318,1313.22,1367.42
20140319,1306.70,1360.63
20140320,1317.17,1371.55
20140321,1316.85,1371.22
20140324,1313.66,1367.89
20140325,1321.08,1375.65
20140326,1314.64,1368.98
20140327,1312.86,1367.51
20140328,1320.38,1375.44
20140331,1331.83,1387.39
20140401,1336.89,1392.81
20140402,1340.84,1397.28
20140403,1341.80,1398.29
20140404,1329.92,1385.93
20140407,1316.63,1372.08
20140408,1318.96,1375.22
20140409,1330.43,1387.26
20140410,1306.97,1362.80
20140411,1296.45,1351.96
20140414,1305.94,1361.86
20140415,1314.69,1370.98
20140416,1326.81,1383.67
20140417,1329.15,1386.17
20140421,1332.25,1389.45
20140422,1335.74,1393.09
20140423,1335.87,1393.50
20140424,1334.96,1392.60
20140425,1328.12,1385.46
20140428,1333.31,1390.93
20140429,1338.20,1396.07
20140430,1341.70,1399.82
20140501,1338.96,1397.09
20140502,1336.32,1394.35
20140505,1335.58,1393.75
20140506,1324.76,1382.48
20140507,1337.15,1396.29
20140508,1335.36,1394.49
20140509,1335.46,1395.02
20140512,1345.86,1405.95
20140513,1347.79,1408.47
20140514,1341.86,1402.57
20140515,1328.83,1389.31
20140516,1331.04,1391.62
20140519,1334.67,1395.58
20140520,1325.59,1386.14
20140521,1335.89,1397.11
20140522,1337.86,1399.51
20140523,1341.67,1403.51
20140527,1346.93,1409.03
20140528,1347.53,1409.88
20140529,1353.58,1416.38
20140530,1356.88,1419.85
20140602,1358.61,1421.68
20140603,1358.79,1421.87
20140604,1360.57,1424.09
20140605,1368.89,1432.89
20140606,1375.34,1439.97
20140609,1376.52,1441.28
20140610,1376.74,1441.53
20140611,1369.91,1434.46
20140612,1361.35,1425.94
20140613,1367.39,1432.28
20140616,1368.44,1433.39
20140617,1372.36,1437.54
20140618,1382.81,1448.48
20140619,1385.57,1451.69
20140620,1389.63,1455.95
20140623,1389.68,1456.01
20140624,1379.52,1445.37
20140625,1383.60,1449.68
20140626,1380.84,1447.18
20140627,1381.89,1448.41
20140630,1380.59,1447.07
20140701,1388.32,1455.57
20140702,1388.49,1455.88
20140703,1395.73,1463.49
20140707,1390.63,1458.14
20140708,1382.40,1450.24
20140709,1387.55,1455.69
20140710,1383.71,1451.66
20140711,1385.11,1453.26
20140714,1390.04,1458.44
20140715,1390.49,1458.91
20140716,1400.34,1469.49
20140717,1385.99,1454.68
20140718,1397.48,1466.75
20140721,1394.44,1463.63
20140722,1400.61,1470.11
20140723,1401.52,1471.07
20140724,1402.67,1472.30
20140725,1397.75,1467.18
20140728,1397.65,1467.08
20140729,1390.43,1459.55
20140730,1387.43,1456.78
20140731,1360.91,1429.04
20140801,1357.23,1425.18
20140804,1366.13,1434.52
20140805,1351.74,1419.61
20140806,1350.83,1419.39
20140807,1343.38,1411.63
20140808,1358.53,1427.57
20140811,1360.67,1430.27
20140812,1359.80,1429.40
20140813,1367.89,1438.38
20140814,1373.92,1444.76
20140815,1371.14,1442.14
20140818,1381.83,1453.52
20140819,1386.76,1459.13
20140820,1390.50,1463.09
20140821,1396.81,1469.77
20140822,1392.00,1465.03
20140825,1399.13,1472.55
20140826,1400.25,1473.74
20140827,1401.39,1475.28
20140828,1399.48,1473.42
20140829,1404.69,1478.92
20140902,1402.46,1476.59
20140903,1404.25,1478.89
20140904,1403.13,1477.73
20140905,1409.75,1484.72
20140908,1405.19,1480.29
20140909,1396.73,1471.42
20140910,1400.04,1475.01
20140911,1402.33,1477.86
20140912,1394.86,1470.00
20140915,1397.10,1472.37
20140916,1406.65,1482.47
20140917,1408.32,1484.25
20140918,1415.18,1491.81
20140919,1416.21,1492.91
20140922,1405.55,1481.67
20140923,1395.35,1470.94
20140924,1404.56,1480.66
20140925,1383.95,1458.94
20140926,1392.44,1468.31
20140929,1388.20,1463.98
20140930,1383.59,1459.26
20141001,1366.08,1440.95
20141002,1365.52,1440.58
20141003,1381.23,1457.18
20141006,1380.19,1456.08
20141007,1358.72,1433.44
20141008,1381.41,1458.14
20141009,1351.86,1427.08
20141010,1339.82,1414.51
20141013,1319.44,1393.00
20141014,1321.07,1394.72
20141015,1306.69,1379.60
20141016,1306.88,1379.86
20141017,1324.00,1397.93
20141020,1332.92,1407.40
20141021,1356.82,1432.68
20141022,1348.08,1423.71
20141023,1360.84,1437.19
20141024,1372.50,1449.53
20141027,1370.03,1446.94
20141028,1385.07,1462.82
20141029,1384.52,1462.40
20141030,1392.01,1470.43
20141031,1407.75,1487.06
20141103,1407.43,1486.72
20141104,1405.12,1484.31
20141105,1414.88,1495.47
20141106,1420.28,1501.48
20141107,1421.42,1503.15
20141110,1426.11,1508.13
20141111,1426.39,1508.43
20141112,1423.48,1505.88
20141113,1424.15,1506.72
20141114,1423.72,1506.57
20141117,1427.45,1510.66
20141118,1432.92,1516.89
20141119,1431.49,1515.41
20141120,1434.12,1518.30
20141121,1440.73,1525.63
20141124,1441.84,1526.83
20141125,1439.66,1524.76
20141126,1443.24,1528.71
20141128,1437.92,1523.14
20141201,1432.44,1517.34
20141202,1442.67,1528.22
20141203,1447.75,1534.16
20141204,1446.01,1532.33
20141205,1450.12,1536.69
20141208,1441.24,1527.64
20141209,1437.61,1523.82
20141210,1414.03,1498.90
20141211,1421.17,1506.79
20141212,1395.33,1479.40
20141215,1386.63,1470.25
20141216,1378.13,1461.23
20141217,1405.00,1489.75
20141218,1439.54,1526.73
20141219,1446.26,1533.87
20141222,1452.79,1540.95
20141223,1458.44,1547.03
20141224,1457.97,1546.54
20141226,1460.76,1549.51
20141229,1461.28,1550.48
20141230,1455.80,1544.93
20141231,1440.09,1528.27
20150102,1440.39,1528.95
20150105,1413.69,1500.64
